Año,Trimestre,Provincia,Accesos por cada 100 hogares,Rango
2019,2,San Luis,81.789994425864,"(80, 90]"
2019,2,Santa Cruz,28.846063055322123,"(20, 30]"
2019,2,Santa Fe,67.42291993321949,"(60, 70]"
2019,2,Santiago Del Estero,52.78997126317105,"(50, 60]"
2019,2,Tierra Del Fuego,94.79803428023493,"(90, 100]"
2019,2,Tucumán,40.13604621420884,"(40, 50]"
2019,1,Buenos Aires,66.24255522736811,"(60, 70]"
2019,1,Capital Federal,109.19616455883845,
2019,1,Catamarca,32.190488956121285,"(30, 40]"
2019,1,Chaco,32.635876579429485,"(30, 40]"
2019,1,Chubut,42.99773633717796,"(40, 50]"
2019,1,Córdoba,65.5173840768055,"(60, 70]"
2019,1,Corrientes,35.13498688698812,"(30, 40]"
2019,1,Entre Ríos,56.78815996169284,"(50, 60]"
2019,1,Formosa,29.677694630431926,"(20, 30]"
2019,1,Jujuy,46.40843874036665,"(40, 50]"
2019,1,La Pampa,76.35457433780647,"(70, 80]"
2019,1,La Rioja,50.184587883262736,"(50, 60]"
2019,1,Mendoza,37.657164970282864,"(30, 40]"
2019,1,Misiones,36.25716826552349,"(30, 40]"
2019,1,Neuquén,58.87800433437489,"(50, 60]"
2019,1,Río Negro,53.57164978100252,"(50, 60]"
2019,1,Salta,40.09834441771615,"(40, 50]"
2019,1,San Juan,31.833058053465464,"(30, 40]"
2019,1,San Luis,67.3379373977716,"(60, 70]"
2019,1,Santa Cruz,23.66765499676892,"(20, 30]"
2019,1,Santa Fe,66.97409094791476,"(60, 70]"
2019,1,Santiago Del Estero,37.519416746003905,"(30, 40]"
2019,1,Tierra Del Fuego,93.37581922721242,"(90, 100]"
2019,1,Tucumán,41.63074443134759,"(40, 50]"
2018,4,Buenos Aires,64.60284663484316,"(60, 70]"
2018,4,Capital Federal,108.27314997057414,
2018,4,Catamarca,32.225346166025346,"(30, 40]"
2018,4,Chaco,32.59096087632982,"(30, 40]"
2018,4,Chubut,42.61093609604538,"(40, 50]"
2018,4,Córdoba,65.08926459112368,"(60, 70]"
2018,4,Corrientes,34.56627656869549,"(30, 40]"
2018,4,Entre Ríos,54.37477348639939,"(50, 60]"
2018,4,Formosa,29.73653915732,"(20, 30]"
2018,4,Jujuy,46.53226639132679,"(40, 50]"
2018,4,La Pampa,73.49404828314209,"(70, 80]"
2018,4,La Rioja,50.347993917417234,"(50, 60]"
2018,4,Mendoza,37.757783845911696,"(30, 40]"
2018,4,Misiones,34.4507488777944,"(30, 40]"
2018,4,Neuquén,59.06916926636779,"(50, 60]"
2018,4,Río Negro,51.86140345426057,"(50, 60]"
2018,4,Salta,39.801610069738146,"(30, 40]"
2018,4,San Juan,31.89625207025579,"(30, 40]"
2018,4,San Luis,67.55045369760039,"(60, 70]"
2018,4,Santa Cruz,23.68919410065612,"(20, 30]"
2018,4,Santa Fe,65.58706886191564,"(60, 70]"
2018,4,Santiago Del Estero,37.40072595129344,"(30, 40]"
2018,4,Tierra Del Fuego,93.59257086207943,"(90, 100]"
2018,4,Tucumán,41.75796963877769,"(40, 50]"
2018,3,Buenos Aires,64.44056759752046,"(60, 70]"
2018,3,Capital Federal,108.44591411021922,
2018,3,Catamarca,32.91594537411041,"(30, 40]"
2018,3,Chaco,32.283100833077576,"(30, 40]"
2018,3,Chubut,56.391745852269025,"(50, 60]"
2018,3,Córdoba,64.24210026029336,"(60, 70]"
2018,3,Corrientes,34.24993887383215,"(30, 40]"
2018,3,Entre Ríos,50.222013858377494,"(50, 60]"
2018,3,Formosa,29.576573428878444,"(20, 30]"
2018,3,Jujuy,23.263700137195517,"(20, 30]"
2018,3,La Pampa,71.75023651844843,"(70, 80]"
2018,3,La Rioja,50.73304318059562,"(50, 60]"
2018,3,Mendoza,37.990597267996215,"(30, 40]"
2018,3,Misiones,32.10366641805902,"(30, 40]"
2018,3,Neuquén,60.48661674396911,"(60, 70]"
2018,3,Río Negro,50.54264808703746,"(50, 60]"
2018,3,Salta,39.42741342068409,"(30, 40]"
2018,3,San Juan,33.05141650392377,"(30, 40]"
2018,3,San Luis,52.35311497551916,"(50, 60]"
2018,3,Santa Cruz,32.72785029455932,"(30, 40]"
2018,3,Santa Fe,63.4096146162309,"(60, 70]"
2018,3,Santiago Del Estero,36.24961697805127,"(30, 40]"
2018,3,Tierra Del Fuego,92.77191839394062,"(90, 100]"
2018,3,Tucumán,41.68101359528755,"(40, 50]"
2018,2,Buenos Aires,62.78226651094991,"(60, 70]"
2018,2,Capital Federal,106.53494128146691,
2018,2,Catamarca,32.8575008674866,"(30, 40]"
2018,2,Chaco,31.251704996034892,"(30, 40]"
2018,2,Chubut,54.90230333735512,"(50, 60]"
2018,2,Córdoba,63.2743661231958,"(60, 70]"
2018,2,Corrientes,33.80975390881165,"(30, 40]"
2018,2,Entre Ríos,49.20261187052838,"(40, 50]"
2018,2,Formosa,29.434226520796997,"(20, 30]"
2018,2,Jujuy,23.432202729854474,"(20, 30]"
2018,2,La Pampa,71.04033787278055,"(70, 80]"
2018,2,La Rioja,50.97789073923241,"(50, 60]"
2018,2,Mendoza,36.97287272406129,"(30, 40]"
2018,2,Misiones,31.630907682221824,"(30, 40]"
2018,2,Neuquén,60.23679161402031,"(60, 70]"
2018,2,Río Negro,50.147894623963396,"(50, 60]"
2018,2,Salta,39.93719209989731,"(30, 40]"
2018,2,San Juan,32.94664884868421,"(30, 40]"
2018,2,San Luis,15.150424491351385,"(10, 20]"
2018,2,Santa Cruz,33.33236451006607,"(30, 40]"
2018,2,Santa Fe,62.57079239957442,"(60, 70]"
2018,2,Santiago Del Estero,35.256464211164236,"(30, 40]"
2018,2,Tierra Del Fuego,91.60519629538562,"(90, 100]"
2018,2,Tucumán,41.512563170017415,"(40, 50]"
2018,1,Buenos Aires,62.62621166168454,"(60, 70]"
2018,1,Capital Federal,106.23567174586837,
2018,1,Catamarca,32.79361613741535,"(30, 40]"
2018,1,Chaco,30.829927645702472,"(30, 40]"
2018,1,Chubut,53.71560488248906,"(50, 60]"
2018,1,Córdoba,63.51716965201617,"(60, 70]"
2018,1,Corrientes,32.66346087317512,"(30, 40]"
2018,1,Entre Ríos,48.68120241785722,"(40, 50]"
2018,1,Formosa,21.404310259211442,"(20, 30]"
2018,1,Jujuy,23.121260875677535,"(20, 30]"
2018,1,La Pampa,71.75163692275797,"(70, 80]"
2018,1,La Rioja,51.44351011244806,"(50, 60]"
2018,1,Mendoza,37.07215110240331,"(30, 40]"
2018,1,Misiones,30.95673588446963,"(30, 40]"
2018,1,Neuquén,61.517390351563726,"(60, 70]"
2018,1,Río Negro,49.816861312232405,"(40, 50]"
2018,1,Salta,39.775591632918804,"(30, 40]"
2018,1,San Juan,32.60917745169287,"(30, 40]"
